index,genres,id,keywords,original_language,original_title,popularity,tagline,title,vote_average,vote_count,cast,director
0,Action Adventure Fantasy Science Fiction,19995,culture clash future space war space colony society,en,Avatar,150.437577,Enter the World of Pandora.,Avatar,7.2,11800,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,Adventure Fantasy Action,285,ocean drug abuse exotic island east india trading company love of one's life,en,Pirates of the Caribbean: At World's End,139.082615,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,Action Adventure Crime,206647,spy based on novel secret agent sequel mi6,en,Spectre,107.376788,A Plan No One Escapes,Spectre,6.3,4466,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,Action Crime Drama Thriller,49026,dc comics crime fighter terrorist secret identity burglar,en,The Dark Knight Rises,112.31295,The Legend Ends,The Dark Knight Rises,7.6,9106,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,Action Adventure Science Fiction,49529,based on novel mars medallion space travel princess,en,John Carter,43.926995,"Lost in our world, found in another.",John Carter,6.1,2124,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,Fantasy Action Adventure,559,dual identity amnesia sandstorm love of one's life forgiveness,en,Spider-Man 3,115.699814,The battle within.,Spider-Man 3,5.9,3576,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,Animation Family,38757,hostage magic horse fairy tale musical,en,Tangled,48.681969,They're taking adventure to new lengths.,Tangled,7.4,3330,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,Action Adventure Science Fiction,99861,marvel comic sequel superhero based on comic book vision,en,Avengers: Age of Ultron,134.279229,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,Adventure Fantasy Family,767,witch magic broom school of witchcraft wizardry,en,Harry Potter and the Half-Blood Prince,98.885637,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,Action Adventure Fantasy,209112,dc comics vigilante superhero based on comic book revenge,en,Batman v Superman: Dawn of Justice,155.790452,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
11,Adventure Action Thriller Crime,10764,killing undercover secret agent british secret service,en,Quantum of Solace,107.928811,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,Adventure Fantasy Action,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
13,Action Adventure Western,57201,texas horse survivor texas ranger partner,en,The Lone Ranger,49.046956,Never Take Off the Mask,The Lone Ranger,5.9,2311,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,Action Adventure Fantasy Science Fiction,49521,saving the world dc comics superhero based on comic book superhuman,en,Man of Steel,99.398009,You will believe that a man can fly.,Man of Steel,6.5,6359,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
15,Adventure Family Fantasy,2454,based on novel fictional place brother sister relationship lion human being,en,The Chronicles of Narnia: Prince Caspian,53.978602,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
16,Science Fiction Action Adventure,24428,new york shield marvel comic superhero based on comic book,en,The Avengers,144.448633,Some assembly required.,The Avengers,7.4,11776,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
17,Adventure Action Fantasy,1865,sea captain mutiny sword prime minister,en,Pirates of the Caribbean: On Stranger Tides,135.413856,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
18,Action Comedy Science Fiction,41154,time travel time machine alien fictional government agency seeing the future,en,Men in Black 3,52.035179,They are back... in time.,Men in Black 3,6.2,4160,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
19,Action Adventure Fantasy,122917,corruption elves dwarves orcs middle-earth (tolkien),en,The Hobbit: The Battle of the Five Armies,120.965743,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
20,Action Adventure Fantasy,1930,loss of father vigilante serum marvel comic scientific experiment,en,The Amazing Spider-Man,89.866276,The untold story begins.,The Amazing Spider-Man,6.5,6586,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
21,Action Adventure,20662,robin hood archer knight sherwood forest bow and arrow,en,Robin Hood,37.668301,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
22,Adventure Fantasy,57158,elves dwarves orcs hobbit dragon,en,The Hobbit: The Desolation of Smaug,94.370564,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
23,Adventure Fantasy,2268,england compass experiment lordship uncle,en,The Golden Compass,42.990906,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
24,Adventure Drama Action,254,film business screenplay show business film making film producer,en,King Kong,61.22601,The eighth wonder of the world.,King Kong,6.6,2337,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
25,Drama Romance Thriller,597,shipwreck iceberg ship panic titanic,en,Titanic,100.025899,Nothing on Earth could come between them.,Titanic,7.5,7562,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
26,Adventure Action Science Fiction,271110,civil war war marvel comic sequel superhero,en,Captain America: Civil War,198.372395,Divided We Fall,Captain America: Civil War,7.1,7241,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
27,Thriller Action Adventure Science Fiction,44833,fight u.s. navy mind reading hong kong soccer,en,Battleship,64.928382,The Battle for Earth Begins at Sea,Battleship,5.5,2114,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
29,Action Adventure Thriller,37724,spy secret agent sociopath killer art gallery,en,Skyfall,93.004993,Think on your sins.,Skyfall,6.9,7604,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
30,Action Adventure Fantasy,558,dual identity love of one's life pizza boy marvel comic sequel,en,Spider-Man 2,35.149586,There's a hero in all of us.,Spider-Man 2,6.7,4321,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
31,Action Adventure Science Fiction,68721,terrorist war on terror tennessee malibu marvel comic,en,Iron Man 3,77.68208,Unleash the power behind the armor.,Iron Man 3,6.8,8806,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
33,Adventure Action Science Fiction Thriller,36668,mutant marvel comic based on comic book superhuman beast,en,X-Men: The Last Stand,3.857526,Take a Stand,X-Men: The Last Stand,6.3,3525,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
34,Animation Family,62211,monster dormitory games animation best friend,en,Monsters University,89.186492,School never looked this scary.,Monsters University,7,3528,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
